EmpID ;EMPRESA;RESPONSÁVEL;PROGRESSO;OBSERVAÇÕES;STATUS
540;EMBATAL - EMBALAGENS TANGARÁ LTDA-Matriz  [0001-51];Bianca;100.00%;"Empresa conferida movimento mensal, porem sem fechar relatórios e sem acertar ajustes de janeiro. Riquelmo e Adelar tem conhecimento.
";Pendencia Tadeu/Cassio/Helena
550;TRANSPORTES RINALDI LTDA-Matriz  [0001-80];Bianca;100.00%;Feita reunião para alinhar os proximos meses. Tadeu deve nos passar o que fazer para acertar o caixa negativo;Pendencia Tadeu/Bianca/Helena
627;SAFRA COMERCIO DE PRODUTOS AGROPECUARIOS LTDA-Matriz  [0001-78];Bianca;100.00%;Falta Tadeu verificar valor 950.000,00 que não identificamos onde caiu;Pendencia Tadeu/Bianca/Helena
632;ATUAL EMBALAGENS LTDA-Matriz  [0001-37];Helena Coelho do Rosario;100.00%;Ok, enviado relatórios para cliente;OK
641;CAPRIMA - INDUSTRIA DE PAPEL LTDA-Matriz  [0001-50];Bianca;100.00%;Ok, enviado relatórios para cliente;OK
647;FARMACIA NOSSA LTDA-Matriz  [0001-93];Bianca;100.00%;"- Precisa ser analisado algumas contas com saldos antigos e alinhar relatórios junto ao cliente - 12/10/2025
- Demais ok
Digitação Isadora";Conferida/Pendencia Cliente/Bianca
673;PLASTICOS TANGARA LTDA-Matriz  [0001-10];Helena Coelho do Rosario;100.00%;OK - fechado com cliente;OK
678;ALTOS INDÚSTRIA E COMÉRCIO LTDA-Matriz  [0001-09];Bianca;100.00%;"- Conforme visto com Tadeu, fechar o mês 09/2025 e levantar as informações que precisam ser ajustadas.  06/10/2025
* Caixa, clientes, fornecedores, adiantamento de clientes e outras obrigações (5757 ajuste panceri) - Balancete*

- Demais ok
- Digitação Bianca";Pendencia Tadeu/Bianca/Helena
711;SSV GESTAO E ADMINISTRACAO DE IMOVEIS LTDA-Matriz  [0001-43];Helena Coelho do Rosario;100.00%;OK - fechado com cliente;OK
712;PLASTICOS IPOMEIA LTDA-Matriz  [0001-00];Helena Coelho do Rosario;100.00%;OK - fechado com cliente;OK
720;SUL MINAS INDUSTRIA E COMERCIO LTDA-Matriz  [0001-02];Bianca;100.00%;"- Falta extrato conta capital de todos os bancos - 07/10/2025
- Solicitei relatório de clientes e fornecedores 07/10/2025 - Não tem controle correto.

- demais ok

Digitação Isadora/Bianca";Conferida/Pendencia Cliente/Bianca
790;BE AGRO COMÉRCIO DE MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS LTDA-Matriz  [0001-47];Helena Coelho do Rosario;100.00%;"- Larissa vai conferir novamente clientes e fornecedores visto que teve varias alterações.
- Marinelsi vai arrumar nota de entrega futura que esta na extensão errada e ver o que fazer com nota de 82.000,00 que da diferença no faturamento
- Conta 1896 - Funcionário Julio Cezar Vieira Branco foi demitido por justa causa e gerou rescisão para pagar R$ 1.960,36.., Esta correta a operação cfe Edy falou é os dias que ele trabalhou. Vilmar falou para manter em aberto até encerrar o processo.
Digitação OK - Larissa";Pendencia Marinelsi/Tadeu/Helena
842;RIO BONITO PAPEIS LTDA-Matriz  [0001-41];Helena Coelho do Rosario;100.00%;OK - fechado com cliente;OK
849;VIMEPEL INDUSTRIA DE PAPEL LTDA-Matriz  [0001-80];Helena Coelho do Rosario;100.00%;OK - fechado com cliente;OK
873;DAL PIZZOL INCORPORADORA LTDA-Matriz  [0001-19];Bianca;100.00%;"- Foi pago pró-labore 08/2025, porém, ele estava afastado por auxilio doença. - 13/10/2025
- Verificar se foi perdido o crédito de IRRF retido na fonte dos trimestres anteriores. 10/09/2025
- Relatórios para o cliente: Fornecedores em aberto, balancete, planilha de adiantamento a fornecedores e razão do grupo de despesas - Enviado 17/10/2025

- Demais ok

";OK
